Em que ano a criança/adolescente está na escola?,Faixa Etária,Região,A criança/adolescente usa a Internet na escola?,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos na escola?",Com que frequência a criança/adolescente pesquisa coisas na Internet para fazer trabalhos da escola?,"Nos últimos três meses, a criança/adolescente mandou mensagens no Whatsapp, Snapchat ou chat do Facebook?","Com que frequência a criança/adolescente manda mensagens no Whatsapp, Snapchat ou chat do Facebook?","Nos últimos 12 meses, a criança/adolescente passou menos tempo que devia com a família, amigos ou fazendo lição de casa porque ficou muito tempo na Internet?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter ou outra rede social?",Ano,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos da escola?","Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter, TikTok ou outra rede social?",Agrupamento - Faixa etária da criança ou do adolescente,Agrupamento - Região,"Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?"
3º ano do Ensino Fundamental / 2ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Sul,Não,Não se aplica
3º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Não,Não se aplica
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Nordeste,Sim,Pelo menos uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 9 a 10 anos,Nordeste,Não se aplica,Não se aplica
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Menos de uma vez por mês,Sim,Pelo menos uma vez por mês,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Centro-Oeste,Sim,Pelo menos uma vez por semana
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Centro-Oeste,Não,Não se aplica
3º ano do Ensino Fundamental / 2ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Nordeste,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 11 a 12 anos,Norte,Não se aplica,Não se aplica
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Não se aplica,Sim,Mais de uma vez por dia,Sim,,2024,Não,,,De 13 a 14 anos,Norte,Não,Não se aplica
2º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não,,2024,Não,,,De 15 a 17 anos,Centro-Oeste,Não,Não se aplica
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Centro-Oeste,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Centro-Oeste,Não,Não se aplica
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Não se aplica,Sim,Pelo menos uma vez por semana,Não,,2024,Não,,,De 11 a 12 anos,Centro-Oeste,Não,Não se aplica
2º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Centro-Oeste,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Nordeste,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não,,2024,Não,,,De 13 a 14 anos,Nordeste,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Não se aplica,Sim,Pelo menos uma vez por mês,Não,,2024,Não,,,De 15 a 17 anos,Sudeste,Sim,Mais de uma vez por dia
2º ano do Ensino Médio,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Não,Não se aplica
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por mês,Não,Não se aplica,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
2º ano do Ensino Médio,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 15 a 17 anos,Norte,Não se aplica,Não se aplica
3º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Pelo menos uma vez por dia
3º ano do Ensino Fundamental / 2ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 9 a 10 anos,Norte,Não se aplica,Não se aplica
3º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Pelo menos uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 13 a 14 anos,Nordeste,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Pelo menos uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Não se aplica,Sim,Mais de uma vez por dia,Não sabe,,2024,Não,,,De 13 a 14 anos,Sul,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Norte,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Sim,Menos de uma vez por mês,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Pelo menos uma vez por semana
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 11 a 12 anos,Sul,Não se aplica,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não sabe,,2024,Sim,,,De 11 a 12 anos,Nordeste,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Nordeste,Não,Não se aplica
1º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Nordeste,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Não,Não se aplica
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Não,Não se aplica
Ensino Superior Incompleto,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Sul,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 9 a 10 anos,Sudeste,Não se aplica,Não se aplica
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Não se aplica,Sim,Pelo menos uma vez por dia,Não se aplica,,2024,Não,,,De 9 a 10 anos,Centro-Oeste,Sim,Pelo menos uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Sul,Não,Não se aplica
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Centro-Oeste,Não,Não se aplica
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Não,Não se aplica
3º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Sudeste,Sim,Mais de uma vez por dia
2º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Sudeste,Sim,Mais de uma vez por dia
1º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Sudeste,Sim,Pelo menos uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Centro-Oeste,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não,,Menos de uma vez por mês,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Sudeste,Sim,Pelo menos uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por mês,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Sudeste,Não,Não se aplica
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Sudeste,Sim,Pelo menos uma vez por semana
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 15 a 17 anos,Norte,Não se aplica,Não se aplica
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Sul,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 15 a 17 anos,Norte,Não se aplica,Não se aplica
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
2º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 11 a 12 anos,Sul,Não,Não se aplica
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Sudeste,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Nordeste,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 13 a 14 anos,Norte,Não se aplica,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não respondeu,,2024,Sim,,,De 13 a 14 anos,Sudeste,Sim,Pelo menos uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Sudeste,Sim,Pelo menos uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Nordeste,Sim,Pelo menos uma vez por dia
2º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Pelo menos uma vez por mês
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Não,Não se aplica
3º ano do Ensino Fundamental / 2ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Pelo menos uma vez por semana,Não sabe,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Não sabe
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Pelo menos uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 11 a 12 anos,Norte,Não se aplica,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 15 a 17 anos,Norte,Não se aplica,Não se aplica
1º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Pelo menos uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Não,Não se aplica,Não sabe,,2024,Sim,,,De 11 a 12 anos,Norte,Não,Não se aplica
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
1º ano do Ensino Médio,,,Não,,Pelo menos uma vez por semana,Não,Não se aplica,Não respondeu,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Nordeste,Não,Não se aplica
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Não se aplica,Sim,Pelo menos uma vez por mês,Não se aplica,,2024,Não,,,De 9 a 10 anos,Norte,Sim,Menos de uma vez por mês
2º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 13 a 14 anos,Nordeste,Sim,Pelo menos uma vez por dia
2º ano do Ensino Fundamental / 1ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Norte,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Sim,Menos de uma vez por mês,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Sim,Menos de uma vez por mês
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
2º ano do Ensino Médio,,,Sim,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Pelo menos uma vez por dia
2º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Sudeste,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Sudeste,Sim,Pelo menos uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por semana,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Sim,Pelo menos uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Nordeste,Sim,Mais de uma vez por dia
1º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não respondeu,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Não respondeu,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 11 a 12 anos,Nordeste,Não se aplica,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Não se aplica,Sim,Pelo menos uma vez por dia,Não se aplica,,2024,Não,,,De 9 a 10 anos,Centro-Oeste,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Não se aplica,Sim,Mais de uma vez por dia,Não,,2024,Não,,,De 15 a 17 anos,Centro-Oeste,Não,Não se aplica
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Nordeste,Não,Não se aplica
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Pelo menos uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Norte,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Não se aplica,Sim,Pelo menos uma vez por dia,Não,,2024,Não,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por dia,Sim,Pelo menos uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Norte,Não,Não se aplica
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Não se aplica,Não,Não se aplica,Não se aplica,,2024,Não,,,De 9 a 10 anos,Centro-Oeste,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Não,Não se aplica,Não,,2024,Sim,,,De 13 a 14 anos,Sul,Não,Não se aplica
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Sim,Pelo menos uma vez por dia,Não,,2024,Sim,,,De 11 a 12 anos,Sul,Não,Não se aplica
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Sim,Pelo menos uma vez por semana,Não,,2024,Sim,,,De 11 a 12 anos,Centro-Oeste,Sim,Pelo menos uma vez por semana
1º ano do Ensino Médio,,,Não,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 15 a 17 anos,Norte,Não se aplica,Não se aplica
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 13 a 14 anos,Norte,Não se aplica,Não se aplica
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Não,Não se aplica,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 13 a 14 anos,Norte,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Sim,Pelo menos uma vez por dia,Não sabe,,2024,Sim,,,De 11 a 12 anos,Norte,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Sim,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,,,Sim,,Mais de uma vez por dia,Não,Não se aplica,Não,,2024,Sim,,,De 15 a 17 anos,Nordeste,Sim,Pelo menos uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Centro-Oeste,Não,Não se aplica
1º ano do Ensino Médio,,,Sim,,Não se aplica,Sim,Pelo menos uma vez por dia,Não,,2024,Não,,,De 15 a 17 anos,Centro-Oeste,Sim,Mais de uma vez por dia
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 11 a 12 anos,Norte,Não se aplica,Não se aplica
3º ano do Ensino Fundamental / 2ª série do Ensino Fundamental,,,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,2024,Não se aplica,,,De 9 a 10 anos,Norte,Não se aplica,Não se aplica
1º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não respondeu,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
1º ano do Ensino Médio,,,Sim,,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Sim,,2024,Sim,,,De 15 a 17 anos,Norte,Sim,Mais de uma vez por dia
9º ano do Ensino Fundamental / 8ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por semana,Não,,2024,Sim,,,De 13 a 14 anos,Centro-Oeste,Sim,Pelo menos uma vez por dia
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,,,Não,,Pelo menos uma vez por mês,Sim,Mais de uma vez por dia,Não se aplica,,2024,Sim,,,De 9 a 10 anos,Nordeste,Não,Não se aplica
