Ano,Unidade_Geografica,Aprovacao_Ensino_Fundamental,Aprovacao_Ensino_Medio,Reprovacao_Ensino_Fundamental,Reprovacao_Ensino_Medio
2017,Rio de Janeiro,74.6,86.3,22.8,10.3
2017,Rio de Janeiro,86.9,81.8,11.4,13.7
2017,Rio de Janeiro,87.0,81.8,11.2,13.7
2017,Rio de Janeiro,85.1,,13.8,
2017,Rio de Janeiro,96.0,93.3,3.8,6.2
2017,Rio de Janeiro,96.0,93.3,3.7,6.2
2017,Rio de Janeiro,95.3,95.6,4.5,4.1
2017,Rio de Janeiro,85.8,78.8,12.4,16.2
2017,Rio de Janeiro,85.9,78.5,12.3,16.4
2017,Rio de Janeiro,84.3,86.0,14.4,10.8
2017,São Paulo,96.5,88.3,2.9,8.4
2017,São Paulo,96.5,88.2,2.9,8.5
2017,São Paulo,96.8,94.1,2.9,4.2
2017,São Paulo,100.0,90.0,0.0,9.4
2017,São Paulo,100.0,90.0,0.0,9.4
2017,São Paulo,95.2,86.6,3.5,9.5
2017,São Paulo,95.2,86.5,3.5,9.6
2017,São Paulo,96.9,94.0,2.4,4.3
2017,São Paulo,96.5,93.3,3.2,6.0
2017,São Paulo,96.4,93.3,3.2,6.0
2017,São Paulo,96.8,95.0,3.1,1.7
2017,São Paulo,98.7,97.3,1.3,2.7
2017,São Paulo,98.7,97.3,1.3,2.7
2017,São Paulo,98.0,96.3,2.0,3.7
2017,São Paulo,95.9,86.7,3.4,9.4
2017,São Paulo,95.9,86.6,3.4,9.5
2017,São Paulo,96.8,94.0,2.9,4.2
2017,Sul,90.8,79.0,8.3,14.1
2017,Sul,90.8,78.8,8.4,14.2
2017,Sul,91.2,83.9,7.8,9.9
2017,Sul,95.3,88.3,4.5,9.6
2017,Sul,95.3,88.3,4.5,9.7
2017,Sul,,88.4,,8.7
2017,Sul,86.4,76.3,12.0,15.7
2017,Sul,86.2,76.0,12.2,15.9
2017,Sul,89.0,83.0,9.4,10.2
2017,Sul,92.2,68.2,7.2,20.5
2017,Sul,92.2,66.0,7.3,22.0
2017,Sul,92.4,83.8,7.0,9.7
2017,Sul,98.2,96.1,1.8,3.7
2017,Sul,98.3,96.1,1.7,3.7
2017,Sul,95.2,93.9,4.7,5.3
2017,Sul,89.7,76.6,9.3,15.5
2017,Sul,89.5,76.3,9.5,15.7
2017,Sul,91.2,83.6,7.8,10.1
2017,Paraná,91.7,81.5,7.4,11.7
2017,Paraná,91.6,81.3,7.4,11.8
2017,Paraná,92.1,86.0,7.0,8.4
2017,Paraná,98.3,91.7,1.7,6.9
2017,Paraná,98.3,91.4,1.7,7.1
2017,Paraná,,99.6,,0.0
2017,Paraná,85.7,79.0,12.0,13.1
2017,Paraná,85.4,78.6,12.2,13.3
2017,Paraná,89.9,85.6,8.3,8.6
2017,Paraná,94.6,100.0,5.3,0.0
2017,Paraná,94.7,100.0,5.2,0.0
2017,Paraná,93.7,,6.2,
2017,Paraná,98.3,96.6,1.7,3.3
2017,Paraná,98.3,96.6,1.7,3.3
2017,Paraná,96.9,94.0,3.1,6.0
2017,Paraná,90.6,79.2,8.3,12.9
2017,Paraná,90.5,78.9,8.4,13.2
2017,Paraná,92.1,85.8,7.1,8.5
2017,Santa Catarina,93.8,83.6,5.8,10.1
2017,Santa Catarina,93.7,83.5,5.9,10.2
2017,Santa Catarina,94.8,87.6,4.7,7.1
2017,Santa Catarina,92.4,90.4,7.2,8.3
2017,Santa Catarina,92.4,90.3,7.2,8.4
2017,Santa Catarina,,91.7,,7.3
2017,Santa Catarina,90.6,81.1,8.5,11.3
2017,Santa Catarina,90.5,81.0,8.6,11.4
2017,Santa Catarina,92.3,86.3,6.8,7.4
2017,Santa Catarina,94.6,88.8,5.0,7.7
2017,Santa Catarina,94.5,88.0,5.2,8.3
2017,Santa Catarina,95.9,92.0,3.8,5.6
2017,Santa Catarina,98.8,96.6,1.2,3.2
2017,Santa Catarina,98.8,96.6,1.2,3.2
2017,Santa Catarina,97.0,97.1,2.4,2.1
2017,Santa Catarina,93.0,81.6,6.4,11.2
2017,Santa Catarina,92.9,81.4,6.6,11.3
2017,Santa Catarina,94.7,87.2,4.8,7.3
2017,Rio Grande do Sul,88.0,72.8,11.0,19.7
2017,Rio Grande do Sul,87.9,72.6,11.1,19.9
2017,Rio Grande do Sul,88.9,79.3,9.9,13.2
2017,Rio Grande do Sul,95.9,84.9,4.1,12.0
2017,Rio Grande do Sul,95.9,84.5,4.1,12.5
2017,Rio Grande do Sul,,86.4,,10.0
2017,Rio Grande do Sul,84.8,69.9,14.1,21.7
2017,Rio Grande do Sul,84.6,69.7,14.3,21.9
2017,Rio Grande do Sul,86.6,76.5,11.6,14.7
2017,Rio Grande do Sul,88.1,64.7,10.8,22.6
2017,Rio Grande do Sul,87.7,62.7,11.1,24.0
2017,Rio Grande do Sul,89.9,81.0,9.1,11.2
2017,Rio Grande do Sul,97.8,94.8,2.2,4.9
2017,Rio Grande do Sul,97.8,94.9,2.1,4.9
2017,Rio Grande do Sul,92.9,92.4,7.1,6.2
2017,Rio Grande do Sul,86.6,70.5,12.2,21.3
2017,Rio Grande do Sul,86.3,70.1,12.6,21.6
2017,Rio Grande do Sul,88.9,78.8,9.9,13.6
2017,Centro-Oeste,93.8,83.9,5.3,10.5
2017,Centro-Oeste,93.9,84.1,5.2,10.4
2017,Centro-Oeste,92.0,80.0,6.4,12.1
2017,Centro-Oeste,95.8,89.3,4.1,8.7
2017,Centro-Oeste,95.8,89.8,4.1,8.1
2017,Centro-Oeste,,87.5,,10.9
2017,Centro-Oeste,92.3,81.5,6.2,11.7
2017,Centro-Oeste,92.2,81.8,6.3,11.7
2017,Centro-Oeste,93.3,77.8,5.4,12.8
2017,Centro-Oeste,93.3,90.4,5.9,5.5
2017,Centro-Oeste,93.6,89.3,5.7,5.8
2017,Centro-Oeste,91.3,93.3,6.9,4.8
2017,Centro-Oeste,98.4,95.8,1.5,3.9
2017,Centro-Oeste,98.4,95.9,1.5,3.9
2017,Centro-Oeste,97.0,95.2,3.0,4.4
2017,Centro-Oeste,92.8,81.9,6.0,11.6
2017,Centro-Oeste,92.9,82.0,6.0,11.5
2017,Centro-Oeste,91.9,79.3,6.4,12.5
2017,Mato Grosso do Sul,89.1,80.6,9.5,11.7
2017,Mato Grosso do Sul,89.6,80.8,9.1,11.7
2017,Mato Grosso do Sul,85.0,78.5,12.2,11.0
2017,Mato Grosso do Sul,94.6,87.0,5.4,8.5
2017,Mato Grosso do Sul,94.6,88.0,5.4,7.7
2017,Mato Grosso do Sul,,82.4,,12.7
2017,Mato Grosso do Sul,87.4,78.6,10.0,12.7
2017,Mato Grosso do Sul,87.4,78.7,10.0,12.8
2017,Mato Grosso do Sul,87.6,76.7,9.6,11.1
2017,Mato Grosso do Sul,88.3,97.5,10.7,2.5
2017,Mato Grosso do Sul,89.1,,10.3,
2017,Mato Grosso do Sul,84.2,97.5,12.9,2.5
2017,Mato Grosso do Sul,98.3,95.6,1.6,4.1
2017,Mato Grosso do Sul,98.3,95.9,1.6,3.9
2017,Mato Grosso do Sul,94.7,90.6,5.3,9.1
2017,Mato Grosso do Sul,88.0,79.0,10.4,12.5
2017,Mato Grosso do Sul,88.4,79.1,10.2,12.6
2017,Mato Grosso do Sul,84.8,77.7,12.3,11.1
2017,Mato Grosso,97.0,73.3,2.3,16.5
2017,Mato Grosso,97.1,72.9,2.3,16.7
2017,Mato Grosso,96.4,76.0,2.4,14.8
2017,Mato Grosso,,90.9,,8.4
2017,Mato Grosso,,91.6,,7.7
2017,Mato Grosso,,88.4,,11.1
2017,Mato Grosso,97.1,70.3,1.9,18.0
2017,Mato Grosso,97.0,69.7,1.9,18.5
2017,Mato Grosso,97.5,74.9,1.3,15.1
2017,Mato Grosso,96.6,,3.0,
2017,Mato Grosso,96.7,,3.0,
2017,Mato Grosso,95.8,,2.9,
2017,Mato Grosso,98.6,96.2,1.3,3.5
2017,Mato Grosso,98.6,96.2,1.3,3.5
2017,Mato Grosso,94.7,90.9,5.3,9.1
2017,Mato Grosso,96.8,71.3,2.5,17.6
2017,Mato Grosso,96.9,70.6,2.5,18.0
2017,Mato Grosso,96.4,76.0,2.4,14.8
2017,Goiás,95.3,92.5,3.9,5.2
2017,Goiás,95.4,92.4,3.8,5.2
2017,Goiás,93.9,93.1,5.0,5.3
